PlantGenotype,nod.R,CI.nod.R,nod.RN,CI.nod.RN,Galls,CI.galls,CI.R.minus.RN,deltaNod
HM001,-0.0697089146494242,0.294368127751995,0.0241838159689106,0.342728681165381,-0.46869897013499,0.652485128029364,0.453594945610405,-0.0938927306183348
HM007,0.102527515357826,0.247281253532491,0.227186774587431,0.250807303087285,0.464406363654074,0.387310614681017,0.359988738328741,-0.124659259229605
HM011,-0.0279476152814064,0.24567775742375,0.0180337369854393,0.258718613197285,0.0582318897926729,0.404391790161597,0.362159030515034,-0.0459813522668457
HM012,0.225120261292268,0.251427134918907,0.253290540460588,0.295646999710746,-0.220009496542186,0.462427472066372,0.393627580181435,-0.0281702791683193
HM013,-0.00541325258917178,0.293608576963644,-0.065578220503652,0.281454913913416,0.277789768361346,0.414812271252624,0.408998409109378,0.0601649679144802
HM028,0.198469781356614,0.236589521254802,0.218210954054465,0.260837235226743,0.291494808844686,0.413252266514018,0.353218534528507,-0.0197411726978511
HM041,-0.135181955783881,0.269545586016027,-0.187364780564348,0.337316808690133,-0.589160239505688,0.471989074144008,0.431797175437941,0.0521828247804672
HM044,-0.168611448034784,0.18935495660423,-0.167815005598646,0.231037073212395,0.14268892230469,0.345760151390389,0.298818151056587,-0.000796442436138356
HM047,-0.143155839662437,0.260631413569409,0.265202658381319,0.270936894167171,0.0584867633024772,0.44660832289118,0.381894834599208,-0.408358498043756
HM048,0.150413877063877,0.247508063837346,0.271305121731475,0.271500072175002,0.251823970616889,0.434435027487113,0.378555798124173,-0.120891244667598
HM049,0.0113507416209837,0.241004410212091,0.417786134380427,0.289924038431173,-0.822973148763069,0.715358577438131,0.368764481521781,-0.406435392759443
HM052,-0.409539537171346,0.271265124606322,-0.440499338777869,0.288567047612305,-0.0027754383778171,0.412358331214367,0.410724550614916,0.0309598016065236
HM053,0.274658990430461,0.25890132566261,0.206876244100947,0.285767248373376,0.2358563688009,0.456590600403947,0.379466620604093,0.0677827463295144
HM061,-0.230607520566104,0.251611747957742,-0.320365643229951,0.308235369085778,0.514755060503148,0.428343997749297,0.404327726607669,0.0897581226638462
HM062,0.0182449352490922,0.255583565621827,0.158650364450811,0.290267308835946,-0.0196963565497769,0.446695963606832,0.398988902066063,-0.140405429201718
HM065,0.00887784189232851,0.242929660474231,0.186179862792771,0.251542116297502,0.184595493074631,0.385978475803106,0.342579571128425,-0.177302020900442
HM071,0.246366907671344,0.254006442804348,-0.0702959993447593,0.290910940844895,0.184255661728225,0.41872981124227,0.400003102464334,0.316662907016104
HM084,-0.310316756677802,0.312613170647174,-0.0109398285806814,0.320737920859617,0.250370744464496,0.554380110928482,0.440904093849817,-0.29937692809712
HM086,-0.329719963820694,0.257107941856781,-0.0749344187970081,0.315744409190186,0.0643130823073036,0.493583746480668,0.407479544192064,-0.254785545023686
HM097,-0.25296561279123,0.257988809784938,-0.0536633660522707,0.27982974309082,0.284568509429125,0.414391595817494,0.388006238995072,-0.199302246738959
HM112,0.0437662077343777,0.255636312204351,0.0739054832724974,0.326932878945753,-0.293842328013937,0.531023860207216,0.407731391043521,-0.0301392755381198
HM127,0.172532456745907,0.19249337826443,0.0393868856496855,0.203736348832799,0.406223659977328,0.327942793898332,0.281373042191831,0.133145571096222
HM128,-0.428619806053885,0.267620335753888,-0.176300987145209,0.288765500815064,0.0581469319560714,0.421630718930352,0.378707053726839,-0.252318818908676
HM129,-0.164160282346248,0.254238527767455,-0.0471558961658709,0.310659716319487,0.31518463086124,0.433260641897376,0.404351188200924,-0.117004386180378
HM130,0.0223610524925117,0.239179378456748,-0.187269001991588,0.289848948030129,0.0935117493076993,0.419536105826268,0.383639647651129,0.2096300544841
HM138,-0.29470807409406,0.305423811449102,-0.302003522566476,0.341757869551883,-0.642638961913764,0.52474878496653,0.454231607842786,0.00729544847241598
