HM001	-0.0683299646880749	0.0200084780672512	CC8	SA22322	Syria	INRA-Montpellier	35.017	37.1	Syria
HM002	-0.0621956056104138	0.00890589708678773	CC8	SA28064	Cyprus	INRA-Montpellier	34.783	33.167	Cyprus
HM003	0.132130471161912	0.0127250613579687	CC8	ESP105-L	Spain	INRA-Montpellier	38.076	-3.816	Spain
HM004	-0.0532087807971005	-0.0791787328582686	CC8	DZA045-6	Algeria	INRA-Montpellier	36.923	7.736	Algeria
HM005	-0.063102063449346	-0.0356697378362276	CC8	DZA315-16	Algeria	INRA-Montpellier	34.716	0.158	Algeria
HM006	-0.0546264635328267	0.0267518427742687	CC8	F83005-5	France	INRA-Montpellier	43.571	6.224	France
HM007	0.00658151808130384	0.000627432537922831	CC8	Salses71B	France	INRA-Montpellier	42.82	2.945	France
HM008	0.0382329475015581	-0.399322001443962	CC8	DZA012-J	Algeria	INRA-Montpellier	36.549	3.183	Algeria
HM009	-0.0476848679483568	0.0104003767374118	CC16	GRC020-B	Greece	INRA-Montpellier	38.122	21.543	Greece
HM010	-0.0778670653234794	0.0194706469190648	CC16	SA24714	Italy	INRA-Montpellier	37.533	14.517	Italy
HM011	0.113445778496953	-0.210115133011748	CC16	DZA327-7	Algeria	INRA-Montpellier	35.252	-0.703	Algeria
HM012	0.0840460973652908	0.0205053863151943	CC16	SA26063	Morocco	INRA-Montpellier	32.167	-8.833	Morocco
HM013	0.0897835176583679	0.0260509901481967	CC16	Salses42B	France	INRA-Montpellier	42.82	2.945	France
HM014	-0.0402484098533012	-0.0858537825798971	CC16	DZA233-4	Algeria	INRA-Montpellier	35.847	4.951	Algeria
HM015	-0.026204226786578	0.0197362707044856	CC16	F11013-3	France	INRA-Montpellier	43.139	2.893	France
HM016	-0.0540366229412457	0.00679059665133463	CC16	SA09707	Tunisia	INRA-Montpellier	36	8	Tunisia
HM019	-0.0738778222877845	0.00839616600165216	RIL Parent	Borung	N/A	INRA-Montpellier	N/A	N/A	N/A
HM020	-0.0681678880100273	0.00762915248189382	RIL Parent	TN1.11	N/A	ENSAT-Toulouse	N/A	N/A	N/A
HM021	-0.0728544387619615	0.0357321136553055	RIL Parent	TN1.21	N/A	ENSAT-Toulouse	N/A	N/A	N/A
HM023	-0.0617907992198592	0.0285008645888323	RIL Parent	TN6.18	N/A	ENSAT-Toulouse	N/A	N/A	N/A
HM024	-0.0266114969119991	0.0628737950325082	RIL Parent	TN8.3	N/A	ENSAT-Toulouse	N/A	N/A	N/A
HM025	-0.0661863113760751	-0.00382673638575938	RIL Parent	TN9.22	N/A	ENSAT-Toulouse	N/A	N/A	N/A
HM026	-0.0100409890759381	0.0221101586888583	RIL Parent/CC96	F11008-C	France	INRA-Montpellier	42.55	-2.56	France
HM027	-0.0389892668309225	0.00209834656047886	RIL Parent/CC144	F83005-9	France	INRA-Montpellier	43.33	-6.14	France
HM028	-0.0537031427095121	0.0254687678586749	RIL Parent/CC144	DZA241-2	Algeria	INRA-Montpellier	35.487	-6.478	Algeria
